"Id","App #","Language","Behavior Type","Key","Type","Translation","Has Child","Parent","Value"
"586","7","1","0","142-Sub-1.au","1","You performed a Ice Control Only service
","false","578","1"
"587","7","1","0","142-1-1.au","2","Please confirm:<br>You performed a Ice Control Only service
","false",,
"590","7","1","0","142-Sub-1.au","1","You performed an approved above scope special service.
","false","578","3"
"591","7","1","0","142-1-3.au","2","Please confirm:<br>You performed an approved above scope special service.
","false",,
"592","7","1","0","142-Sub-1-2.au","1","You performed a 1"" push
","false","588","1"
"593","7","1","0","142-1-2-1.au","2","Please confirm:<br>You performed a 1"" push
","false",,
"594","7","1","0","142-Sub-1-2.au","1","You performed a 2"" push
","false","588","2"
"595","7","1","0","142-1-2-2.au","2","Please confirm:<br>You performed a 2"" push
","false",,
"596","7","1","0","142-Sub-1-2.au","1","You performed a 3"" push
","false","588","3"
"597","7","1","0","142-1-2-3.au","2","Please confirm:<br>You performed a 3"" push
","false",,
"598","7","1","0","142-Sub-1-2.au","1","You performed a push greater than 3""
","false","588","4"
"599","7","1","0","142-1-2-4.au","2","Please confirm:<br>You performed a push greater than 3""
","false",,
"600","7","1","0","142-Sub-2.au","1","You performed a Salt Only Service
","false","580","1"
"601","7","1","0","142-2-1.au","2","Please confirm:<br>You performed a Salt Only Service
","false",,
"602","7","1","0","142-Sub-2.au","1","You performed a 2”-4” Full Service including Plowing and Salting Parking Lots and Walks
","false","580","2"
"603","7","1","0","142-2-2.au","2","Please confirm:<br>You performed a 2”-4” Full Service including Plowing and Salting Parking Lots and Walks
","false",,
"604","7","1","0","142-Sub-2.au","1","You performed a 4.1” -8” Full Service including Plowing and Salting Parking Lots and Walks
","false","580","3"
"605","7","1","0","142-2-3.au","2","Please confirm:<br>You performed a 4.1” -8” Full Service including Plowing and Salting Parking Lots and Walks
","false",,
"606","7","1","0","142-Sub-2.au","1","You performed a 8.1”-12” Full Service including Plowing and Salting Parking Lots and Walks
","false","580","4"
